Preoxidant dose (mg/L),Preoxidation time (h),Disinfectant dose (mg/L),Disinfectant/DOC,Total residual chlorine (mg/L),Reaction time (h),Temperature (C),pH,Buffer concentration (mM),Bromide concentration (ug/L),DOC (mg/L),UV254 (cm-1),SUVA254,Ammonia (mg-N/L),Nitrate (mg-N/L),Nitrite (mg-N/L),DON (mg/L),DON/DOC,Preoxidant,Disinfectant,Quenching agent,Buffer,Water source,DIN,DCAN
0.0,0.0,70.83162349,7.765302657,1.0,24.0,20.0,8.0,1000.0,0.0,2.5,0.081,3.24,0.0,0.74,0.0,0.137721896,0.048316274,4,1,2,3,2,0.74,0.37
0.0,0.0,12.0,3.0,9.691302385,7.0,25.0,7.2,10.0,0.0,4.0,0.092,2.3,0.423268528,3.216979433,0.085645298,0.28,0.07,4,0,2,4,1,3.7258932590000002,0.310076747
0.0,0.0,73.27540132,7.319738624,1.0,24.0,20.0,8.0,1000.0,10.0,2.8,0.14,5.0,0.0,0.42,0.0,0.11,0.039285714,4,1,2,3,2,0.42,0.6
0.845965462,0.5,9.0,2.884615385,6.067192407,24.0,25.0,7.0,10.0,466.8225648,3.12,0.068219997,2.155457392,0.78,0.7,0.006,0.92,0.294871795,2,1,0,4,2,1.486,0.0
5.0,72.0,0.0,0.0,6.095549002,0.0,23.945,7.0,10.0,210.4179156,5.0,0.05,1.0,0.63,0.354609929,0.354609929,0.770752807,0.162271968,6,2,2,4,0,1.3392198579999999,0.0
0.0,0.0,12.0,3.0,4.314387156,53.0,25.0,7.2,10.0,0.0,4.0,0.0532,1.33,0.49525,3.113076596,0.081276364,1.88,0.47,4,0,2,4,2,3.6896029599999998,0.281851854
0.0,0.0,74.79242583,7.816430484,1.0,24.0,20.0,8.0,1000.0,0.0,4.9,0.025,0.510204082,0.0,0.0,0.0,0.09,0.018367347,4,1,2,3,2,0.0,0.35
0.0,0.0,51.8,3.865671642,17.69751926,24.0,25.0,7.0,20.0,76.04616667,13.4,0.14,1.044776119,0.2,7.080466667,0.0,3.4,0.253731343,4,1,2,4,3,7.280466667,5.226039866
0.0,0.0,15.0,5.0,7.316265045,72.0,22.0,7.2,10.0,0.0,3.0,0.117,3.9,0.139792398,10.49532429,0.151981726,0.06122449,0.020408163,4,0,7,4,1,10.787098414,1.77922822
0.0,0.0,12.0,1.052631579,5.0,168.0,25.0,8.3,20.0,1186.198662,11.4,0.16188,1.42,0.12,17.98185919,0.187396099,2.992262944,0.307801018,4,0,2,2,3,18.289255289000003,0.0
