Preoxidant dose (mg/L),Preoxidation time (h),Disinfectant dose (mg/L),Disinfectant/DOC,Total residual chlorine (mg/L),Reaction time (h),Temperature (C),pH,Buffer concentration (mM),Bromide concentration (ug/L),DOC (mg/L),UV254 (cm-1),SUVA254,Ammonia (mg-N/L),Nitrate (mg-N/L),Nitrite (mg-N/L),DON (mg/L),DON/DOC,Preoxidant,Disinfectant,Quenching agent,Buffer,Water source,DIN,DCAN
0.0,0.0,76.89354861,9.622946931,1.0,24.0,20.0,8.0,1000.0,0.0,1.6,0.094,5.875,0.0,0.15,0.0,0.04,0.025,4,1,2,3,2,0.15,0.33
2.3,0.019565217,8.859275594,3.097027607,3.633915492,72.0,20.0,7.0,5.0,828.7,3.2,0.1088,3.4,0.253645,5.544222695,0.256471691,0.338699582,0.11682942,5,0,5,4,1,6.054339386,1.48777186
0.0,0.0,20.0,4.0,5.656250421,168.0,22.0,7.5,5.0,0.0,5.0,0.14,2.8,0.233873818,12.40572429,0.132202099,0.172,0.0344,4,0,7,4,2,12.771800207,4.45257
2.8,0.045238095,22.46507837,4.295144244,4.316228022,72.0,20.0,7.0,5.0,201.2,4.0,0.24,6.0,0.89967,35.5282722,0.255642574,0.405639085,0.112439009,2,1,5,4,1,36.683584774,0.485981917
0.0,0.0,4.0,1.333333333,1.5,168.0,25.0,7.0,20.0,0.0,3.0,0.042,1.4,0.12,0.15,0.0,0.339026384,0.119182479,4,1,2,2,1,0.27,4.2
0.0,0.0,20.0,10.52631579,4.573896607,2.0,25.0,7.0,2.0,48.0,1.9,0.0247,1.3,1.053314921,3.93373,0.186187913,0.17,0.089473684,4,1,7,4,1,5.173232834,1.543963324
0.0,0.0,8.0,4.0,3.478937495,72.0,21.0,7.0,28.0,98.07481401,2.0,0.049735853,2.090460771,0.11337,7.262148459,0.241709846,0.07,0.035,4,1,2,4,0,7.617228304999999,0.38
0.0,0.0,5.3,1.0,4.482139053,12.0,25.0,8.1,0.0,12900.0,5.3,0.079,1.490566038,0.37128,6.827094397,0.292451,1.880033416,0.322749162,4,1,3,0,3,7.490825396999999,4.047042658
0.0,0.0,33.22168347,6.266670612,1.0,24.0,20.0,8.0,1000.0,30.0,1.8,0.098,5.444444444,0.016,0.76,0.0,0.227502217,0.07628797,4,1,2,3,2,0.776,0.41
0.0,0.0,74.12867132,7.179691565,1.0,24.0,20.0,8.0,1000.0,10.0,3.4,0.137,4.029411765,0.004,0.0,0.0,0.11,0.032352941,4,1,2,3,2,0.004,0.29
1.3590924,29.62317446,6.0,2.0,1.556711606,72.0,18.565,8.0,40.0,500.0,3.0,0.12,4.0,0.17058,13.4676044,0.272400887,0.325189337,0.084045703,6,1,2,3,2,13.910585287,1.317924741
0.0,0.0,8.0,4.0,2.876721367,72.0,21.0,7.0,28.0,105.5770008,2.0,0.045846464,1.893611402,0.10906,5.773480657,0.278685945,0.17,0.085,4,1,2,4,0,6.161226602000001,0.29
0.0,0.0,134.26322,6.996041179,1.0,24.0,20.0,8.0,1000.0,50.0,17.5,0.543,3.102857143,0.009,0.0,0.0,0.69,0.039428571,4,1,2,3,2,0.009,0.53
0.0,0.0,10.0,8.695652174,9.924738416,24.0,20.0,8.2,0.0,5145.697722,1.15,0.01403,1.22,0.1932275,6.511869433,0.39762,1.248030341,0.455605748,4,1,7,0,1,7.102716933,4.465154042
0.0,0.0,6.0,2.0,2.193370775,24.0,20.0,7.0,11.89,1000.0,3.0,0.0111,0.37,0.20386,5.301048794,0.138689751,0.513424512,0.182563131,4,1,2,4,0,5.643598545,2.075396735
0.0,0.0,8.345105546,3.265299451,1.0,24.0,21.62684211,7.8,0.0,790.0,2.2,0.04,1.818181818,0.01,6.702055,0.255972199,0.369786224,0.136335564,4,1,2,0,1,6.968027199,0.7
0.0,0.0,1.95,1.5,3.648372736,2.0,20.0,7.0,2.0,9.0,1.3,0.017,1.307692308,0.0,0.63,0.006,0.28,0.215384615,4,1,0,4,1,0.636,0.665915245
0.0,0.0,10.48525737,2.743488473,1.0,24.0,20.365,7.6,0.0,60.0,4.0,0.14,3.5,0.13,3.855883865,0.086432695,0.355910603,0.090500133,4,1,2,0,1,4.07231656,5.0
0.0,0.0,10.0,4.347826087,3.05706488,8.0,22.0,6.9,10.0,0.0,2.3,0.05192471,1.786920612,0.05,2.8,0.02,0.4,0.173913043,4,1,2,4,1,2.8699999999999997,3.870225376
0.0,0.0,8.0,1.6,5.230301915,72.0,22.0,7.5,2.0,1000.0,5.0,0.2,4.0,0.0,0.0,0.0,0.104821803,0.020964361,4,0,7,4,2,0.0,0.241008888
0.0,0.0,10.0,2.702702703,3.433395541,2.0,22.0,6.9,10.0,0.0,3.7,0.0727,2.0,0.03,1.2,0.01,0.15,0.040540541,4,1,2,4,1,1.24,1.99507525
0.0,0.0,8.0,4.0,3.064220569,72.0,21.0,7.0,28.0,96.90781268,2.0,0.045575599,1.928338114,0.09496,5.957272359,0.264452044,0.18,0.09,4,0,2,4,0,6.316684403,0.13
0.0,0.0,15.53148513,3.136973183,4.0,168.0,20.0,7.0,1.0,160.3114447,4.951105484,0.192360321,3.8851994,0.291415,10.6547283,0.246324298,0.224834332,0.050674033,4,1,5,4,2,11.192467598,2.739010501
0.0,0.0,36.0,1.827411168,15.6,168.0,25.0,8.3,20.0,745.4232001,19.7,0.50038,2.54,0.0,29.22022,0.283366219,3.325941926,0.342309633,4,0,2,2,2,29.503586219000002,4.2
0.0,0.0,24.0,2.105263158,4.1,168.0,25.0,7.0,20.0,168.7329877,11.4,0.16188,1.42,0.12,13.64134919,0.193154286,3.679031095,0.286312896,4,1,2,2,3,13.954503476,12.7
0.0,0.0,25.0,5.0,14.00675017,168.0,20.0,10.0,44.1,858.7563844,5.0,0.081544468,1.790004937,0.363885882,5.555551042,0.707620243,1.162957329,0.267958636,4,0,2,4,0,6.627057167,18.9583852
0.0,0.0,5.3,1.0,5.333986965,0.0,25.0,8.1,0.0,12900.0,5.3,0.079,1.490566038,0.53241,6.097494397,0.295054606,1.981347615,0.352713646,4,1,3,0,3,6.924959003000001,0.0
0.1396125,0.431453159,6.0,2.0,1.810490821,72.0,20.11,8.0,40.0,0.0,3.0,0.12,4.0,0.17020619,11.63826277,0.157069397,0.277850228,0.081100296,2,1,2,3,2,11.965538357000002,5.037086537
2.55,0.5,5.35,3.147058824,3.212064567,72.0,25.0,7.0,10.0,20.0,1.7,0.051,3.0,0.08,3.3,0.05,0.16,0.094117647,0,0,2,4,1,3.4299999999999997,0.720520103
0.0,0.0,8.0,4.0,3.227259262,72.0,21.0,7.0,28.0,100.840814,2.0,0.05097881,2.12441194,0.11266,5.841494558,0.257002945,0.1,0.05,4,1,2,4,0,6.211157503,0.76
0.0,0.0,8.252500578,2.795777006,1.0,24.0,20.48,8.2,0.0,110.0,2.9,0.1,3.448275862,0.09167,3.887561099,0.119665993,0.336812525,0.102041743,4,1,2,0,1,4.0988970920000005,0.75
0.0,0.0,10.0,3.789314134,5.815049982,72.0,20.0,7.8,10.0,2480.0,2.639,0.059084864,1.762775087,0.125,0.791,0.009,1.46,0.553239864,4,1,0,4,1,0.925,8.986661313
0.0,0.0,90.0,4.568527919,6.9,168.0,25.0,7.0,20.0,140.1848697,19.7,0.50038,2.54,0.0,20.89282,0.268506219,3.174426877,0.387706029,4,0,2,2,2,21.161326219,35.5
3.0,0.083333333,15.0,5.0,6.296361766,72.0,22.0,7.2,10.0,210.0,3.0,0.042,1.4,0.1855,4.931518794,0.214069968,0.25,0.083333333,5,0,7,4,1,5.331088762,2.07748376
0.0,0.0,10.0,4.0,5.944391607,6.0,22.0,6.9,10.0,40.0,2.5,0.0545,2.2,0.03,0.0,0.0,0.06,0.024,4,0,2,4,1,0.03,0.289198933
0.0,0.0,76.4264238,10.82363524,1.0,24.0,20.0,8.0,1000.0,0.0,1.3,0.042,3.230769231,0.0,0.0,0.0,0.01,0.007692308,4,1,2,3,2,0.0,0.32
0.0,0.0,125.8234825,6.300975696,1.0,24.0,20.0,8.0,1000.0,50.0,14.2,0.487,3.429577465,0.0,0.04,0.0,0.6,0.042253521,4,1,2,3,2,0.04,8.7
0.0,0.0,72.59640064,7.707145937,1.0,24.0,20.0,8.0,1000.0,0.0,2.4,0.113,4.708333333,0.0,0.35,0.0,0.091886372,0.034979465,4,1,2,3,2,0.35,0.3
0.0,0.0,5.0,1.666666667,4.185874781,24.0,20.0,7.0,10.89954545,100.0,3.0,0.0078,0.26,0.2954625,4.486678794,0.166786751,0.46859813,0.144238418,4,0,2,4,0,4.948928045000001,3.611497179
0.0,0.0,10.0,4.0,4.915174878,24.0,22.0,6.9,10.0,40.0,2.5,0.0545,2.2,0.03,0.0,0.0,0.06,0.024,4,0,2,4,1,0.03,1.065107898
0.0,0.0,40.0,4.938271605,22.18350657,6.0,20.0,7.0,21.47,50.0,8.1,0.12,1.481481481,0.11,0.04,0.01,0.79,0.097530864,4,1,0,4,1,0.16,5.665347075
0.0,0.0,50.0,16.61129568,43.5,168.0,25.0,7.0,20.0,59.32400756,3.01,0.047859,1.59,0.573152273,5.841042333,0.508596099,0.927730306,0.194964133,4,1,2,2,1,6.922790705,0.1
0.0,0.0,30.0,2.631578947,11.8,168.0,25.0,8.3,20.0,147.4919608,11.4,0.16188,1.42,0.12,14.65215919,0.162764286,3.556383,0.29419813,4,0,2,2,3,14.934923476,0.8
0.0,0.0,8.0,4.0,2.54474452,72.0,21.0,7.0,28.0,94.29059906,2.0,0.045366932,1.860355703,0.12171,4.382802856,0.248262044,0.2,0.1,4,1,2,4,0,4.7527748999999995,0.83
0.0,0.0,5.0,0.841750842,7.64659641,0.5,21.76626984,7.379285714,7.915,324.4199678,5.94,0.0971,1.634680135,0.23,5.07,0.179722298,0.33,0.055555556,4,0,7,4,3,5.479722298,0.359802771
0.0,0.0,7.0,2.333333333,3.891175096,24.0,25.0,7.0,2.0,100.0,3.0,0.030260043,1.154034374,0.55777,3.840191489,0.160298894,0.432176883,0.144604761,4,0,2,4,0,4.558260383,5.000480826
0.0,0.0,10.0,2.411963338,5.209433471,72.0,20.0,7.8,10.0,357.9402689,4.146,0.082549594,2.284022734,0.065,0.704,0.01,0.57,0.13748191,4,0,0,4,1,0.7789999999999999,16.70542099
0.0,0.0,6.0,2.0,4.041563883,24.0,20.0,7.0,10.625,500.0,3.0,0.0111,0.37,0.18826,5.365094397,0.134745354,0.496723526,0.159683568,4,0,2,4,0,5.688099750999999,3.499279844
0.0,0.0,53.276,10.87265306,9.313754263,24.0,25.0,7.0,10.0,25.7,4.9,0.06468,1.32,3.76,4.64,0.011,0.61,0.124489796,4,1,2,4,2,8.410999999999998,14.80380392
0.0,0.0,7.064982015,4.60287293,4.0,168.0,20.0,7.0,1.0,179.6105722,1.534907029,0.037675411,2.454572808,0.16881,3.724676099,0.155332199,0.310990139,0.178262104,4,1,5,4,2,4.048818298,0.965241854
0.0,0.0,13.59921528,2.754179144,4.0,168.0,20.0,7.0,1.0,147.2974447,4.93766548,0.172098761,3.485427713,0.240065,5.575944397,0.183192596,0.236216319,0.051184069,4,1,5,4,2,5.999201993,27.71939292
0.0,0.0,20.0,5.0,3.026245128,24.0,22.0,7.5,2.0,1306.976744,4.0,0.048,1.2,0.259705,3.005534397,0.179479167,0.500725198,0.131922086,4,1,2,4,1,3.4447185639999995,0.75369763
0.0,0.0,23.15197699,4.258120238,4.491198141,72.0,20.0,7.0,5.0,851.2,4.0,0.24,6.0,0.87315,31.3417022,0.280646474,0.422327925,0.118877854,4,1,5,4,1,32.495498674000004,0.369525171
0.0,0.0,6.0,2.0,4.155038754,24.0,20.0,6.0,17.12454545,100.0,3.0,0.0078,0.26,0.28212,4.757598886,0.261131124,0.444987104,0.142974916,4,0,2,4,0,5.3008500100000004,3.02212719
0.0,0.0,10.0,2.127659574,6.657333652,29.0,22.0,6.9,10.0,830.0,4.7,0.0958,2.0,0.04,0.0,0.0,0.3,0.063829787,4,0,2,4,3,0.04,1.991261069
0.0,0.0,13.7562022,2.330769837,4.0,168.0,20.0,7.0,1.0,83.75837606,5.901999411,0.191960224,3.252460907,0.306131667,8.504498683,0.265870012,0.348443124,0.079754299,4,1,5,4,2,9.076500362,31.65970782
0.0,0.0,15.0,2.884615385,4.459307277,1.0,22.63111111,7.0,1.0,0.0,5.2,0.186,3.576923077,0.0,7.784146667,0.108222722,0.09,0.017307692,4,1,2,4,2,7.892369389,4.045866613
0.0,0.0,8.0,1.6,5.525518943,72.0,22.0,9.0,2.0,0.0,5.0,0.2,4.0,0.0,0.0,0.0,0.104821803,0.020964361,4,0,7,4,2,0.0,0.57577552
1.2,0.018055556,8.829612483,3.007923584,3.591739538,72.0,20.0,7.0,5.0,828.7,3.2,0.1088,3.4,0.253545,6.961672695,0.272488092,0.34649189,0.116811501,5,0,5,4,1,7.4877057869999994,1.624020543
0.0,0.0,40.0,4.938271605,27.3298113,1.0,20.0,7.0,21.57,50.0,8.1,0.12,1.481481481,0.11,0.04,0.01,0.79,0.097530864,4,1,0,4,1,0.16,5.439004524
0.0,0.0,250.0,79.11392405,16.38870689,168.0,25.0,7.0,20.0,59.91094209,3.16,0.03792,1.2,1.429472273,5.458529567,0.283132463,2.74841,0.378131007,4,0,2,2,1,7.1711343030000005,1.333333333
0.0,0.0,75.64212132,7.220554391,1.0,24.0,20.0,8.0,1000.0,0.0,3.1,0.135,4.35483871,0.0,0.0,0.0,0.11,0.035483871,4,1,2,3,2,0.0,0.25
0.0,0.0,40.0,8.230452675,34.0,168.0,25.0,7.0,20.0,45.59376596,4.86,0.047142,0.97,0.68125,6.488388549,0.377596099,1.216950064,0.221904739,4,1,2,2,1,7.547234648,0.2
0.0,0.0,213.0,8.949579832,25.50516081,168.0,25.0,7.0,20.0,54.0,23.8,0.3332,1.4,11.6,0.0,0.0,4.0,0.168067227,4,0,2,2,3,11.6,10.45307869
0.0,0.0,150.0,50.0,52.6,168.0,25.0,8.3,20.0,0.0,3.0,0.042,1.4,0.12,0.15,0.0,1.115659927,0.196941126,4,0,2,2,1,0.27,1.3
0.0,0.0,13.18220916,2.466009899,4.0,168.0,20.0,7.0,1.0,125.2888099,5.345562145,0.212290451,3.971340071,0.531606667,12.0734305,0.273718673,0.277873443,0.074475549,4,1,5,4,2,12.87875584,1.63526113
0.0,0.0,37.75,4.081081081,14.23646096,72.0,25.0,7.0555,50.98,0.0,9.25,0.150775,1.63,0.925505,12.41847099,0.365244662,3.05,0.32972973,4,1,2,4,0,13.709220651999999,28.43031646
2.0,0.5,20.0,5.0,4.515507571,24.0,22.0,7.5,2.0,1000.0,4.0,0.156,3.9,0.0,0.0,0.0,0.083333332,0.020833333,0,1,2,4,2,0.0,0.469925471
0.0,0.0,6.700917814,4.537999925,4.0,168.0,20.0,7.0,1.0,247.0348287,1.476623606,0.032515908,2.202044452,0.20923,3.604468298,0.17969577,0.283346805,0.182833212,4,1,5,4,2,3.9933940679999997,10.21824385
0.0,0.0,5.365,0.715333333,4.513332985,0.5,25.0,7.0,5.0,52.0,7.5,0.203,2.706666667,2.29,1.9,1.0,5.54,0.738666667,4,1,7,4,3,5.1899999999999995,0.775813536
0.0,0.0,9.156932584,4.023431247,4.0,168.0,20.0,7.0,1.0,198.3432569,2.275901344,0.092485171,4.063672228,0.16772,13.4712561,0.144754298,0.243187751,0.078126893,4,1,5,4,2,13.783730398,1.489051321
0.0,0.0,5.0,0.588235294,3.806434966,1.0,23.745,7.0,5.0,0.0,8.5,0.177123167,3.492099295,1.212427063,11.9312766,0.227664601,0.212919132,0.02504931,4,1,7,4,2,13.371368264000001,2.671814164
0.0,0.0,300.0,24.59016393,16.9,168.0,25.0,7.0,20.0,200.0,12.2,0.18788,1.54,0.2,35.42,0.23,4.811814103,0.275165717,4,0,2,2,3,35.85,37.2
0.0,0.0,170.1585056,14.83117423,1.0,24.0,20.0,8.0,1000.0,40.0,0.9,0.021,2.333333333,0.0,0.0,0.0,0.05,0.055555556,4,1,2,3,2,0.0,0.25
0.0,0.0,15.0,3.0,6.8,24.0,25.0,7.0,20.0,0.0,5.0,0.35,7.0,0.0,0.0,0.0,0.02,0.004,4,1,2,4,2,0.0,7.474803738
0.0,0.0,10.0,5.0,6.453725483,168.0,20.0,8.0,22.12,159.3299723,2.0,0.031092461,1.233706975,0.26227,3.791148844,0.371499044,0.444515128,0.16473708,4,1,2,4,0,4.4249178879999995,0.0
0.0,0.0,250.0,71.42857143,15.2,168.0,25.0,7.0,20.0,57.96094209,3.5,0.04095,1.17,1.482145,5.135875667,0.220728562,2.232405,0.340129724,4,0,2,2,1,6.838749228999999,2.8
0.0,0.0,33.60458014,6.245422964,1.0,24.0,20.0,8.0,1000.0,40.0,1.8,0.082,4.555555556,0.0,0.49,0.0,0.12814194,0.064891052,4,1,2,3,2,0.49,0.49
0.0,0.0,10.0,0.970873786,1.285101054,24.0,25.0,7.0,20.0,922.0783555,10.3,0.116,1.126213592,0.3,7.180294397,0.3,4.3,0.417475728,4,1,2,4,3,7.780294397,15.28654355
0.0,0.0,16.0,1.31147541,0.9,168.0,25.0,7.0,20.0,200.0,12.2,0.18788,1.54,0.2,35.42,0.23,3.265103944,0.301944649,4,1,2,2,3,35.85,22.4
0.0,0.0,7.0,2.745098039,3.9,168.0,25.0,7.0,20.0,112.0863527,2.55,0.035955,1.41,0.28126,6.63632635,0.192509199,0.381670066,0.135868444,4,1,2,2,1,7.1100955489999995,1.4
0.0,0.0,12.0,3.0,7.216224629,168.0,25.0,7.2,10.0,0.0,4.0,0.0544,1.36,0.187522424,2.217403298,0.082632695,1.04,0.26,4,0,2,4,1,2.487558417,1.88
0.0,0.0,15.0,3.0,15.0,0.0,22.0,8.0,10.0,214.5828413,5.0,0.23,4.6,0.662316667,9.468716814,0.230846574,0.072886297,0.014577259,4,0,7,4,2,10.361880055,0.0
0.0,0.0,6.0,2.0,2.182880155,24.0,20.0,7.0,10.94454545,100.0,3.0,0.0099,0.33,0.2364225,4.199917092,0.168497521,0.475747937,0.147800536,4,1,2,4,0,4.604837112999999,5.926937427
0.0,0.0,73.08642418,7.061854921,1.0,24.0,20.0,8.0,1000.0,10.0,3.0,0.138,4.6,0.0,0.48,0.0,0.13,0.043333333,4,1,2,3,2,0.48,0.53
0.0,0.0,124.0,10.0,10.04837148,72.0,20.0,7.0,5.0,0.0,12.4,1.01184,8.16,3.60481,35.5231,0.144879418,0.53,0.042741935,4,1,2,4,2,39.272789418,27.3
1.5,1.0,40.0,4.938271605,24.71035063,24.0,20.0,7.0,25.36,50.0,8.1,0.12,1.481481481,0.11,0.04,0.01,0.79,0.097530864,5,1,0,4,1,0.16,7.219492443
0.0,0.0,1.95,1.5,3.21988611,24.0,20.0,7.0,2.0,109.0,1.3,0.017,1.307692308,0.0,0.63,0.006,0.28,0.215384615,4,1,0,4,1,0.636,0.358658388
0.0,0.0,20.0,4.0,5.699703553,168.0,22.0,7.5,5.0,0.0,5.0,0.2875,5.75,0.0,0.0,0.0,0.113,0.0226,4,0,7,4,2,0.0,11.81855
0.0,0.0,6.0,0.526315789,2.5,168.0,25.0,8.3,20.0,1420.325945,11.4,0.16188,1.42,0.12,19.00036805,0.189296099,2.762342944,0.294105322,4,0,2,2,3,19.309664149,0.0
0.0,0.0,4.0,2.0,1.588887374,24.0,21.0,7.5,10.0,200.0,2.0,0.029,1.45,0.2154825,3.366457092,0.200456243,0.35,0.175,4,1,2,4,0,3.782395835,0.643006186
0.0,0.0,15.0,3.0,13.60861216,3.0,22.0,8.0,10.0,70.86039144,5.0,0.23,4.6,0.572726667,9.586790715,0.246680474,0.072886297,0.014577259,4,0,7,4,2,10.406197855999999,0.798714543
0.0,0.0,29.60321295,6.507278318,1.0,24.0,20.0,8.0,1000.0,40.0,1.2,0.021,1.75,0.0,0.03,0.0,0.09,0.075,4,1,2,3,2,0.03,0.24
0.0,0.0,114.7921773,5.902811992,1.0,24.0,20.0,8.0,1000.0,40.0,12.5,0.421,3.368,0.0,0.0,0.0,0.45,0.036,4,1,2,3,2,0.0,1.36
6.0,0.333333333,45.07328051,8.00143823,5.716103642,24.0,20.0,8.0,60.29,300.0,3.0,0.275668588,9.188952926,0.99523,21.07835,0.311163269,0.647342445,0.151042653,5,1,7,2,2,22.384743269,1.552924811
0.0,0.0,15.0,3.0,11.81737063,48.0,22.0,8.0,10.0,44.35267716,5.0,0.23,4.6,0.621728974,12.11579071,0.171706574,0.072886297,0.014577259,4,0,7,4,2,12.909226258,10.1433305
0.158034,25.28726944,6.0,2.0,1.856204195,72.0,19.43,8.0,40.0,0.0,3.0,0.12,4.0,0.169593333,11.59761277,0.212816631,0.30389714,0.077547493,6,1,2,3,2,11.980022734,3.189389687
0.0,0.0,73.98340132,7.117169124,1.0,24.0,20.0,8.0,1000.0,0.0,2.9,0.123,4.24137931,0.0,0.37,0.0,0.08,0.027586207,4,1,2,3,2,0.37,0.46
0.0,0.0,21.46,2.861333333,1.729702223,0.5,25.0,7.0,5.0,1052.0,7.5,0.203,2.706666667,2.29,1.9,1.0,5.54,0.738666667,4,1,7,4,3,5.1899999999999995,2.310602637
0.0,0.0,29.02916398,5.802702164,1.0,24.0,20.0,8.0,1000.0,0.0,1.9,0.069,3.631578947,0.004,0.0,0.0,0.13,0.068421053,4,1,2,3,2,0.004,0.49
0.0,0.0,12.0,3.0,10.67565516,3.0,25.0,7.2,10.0,0.0,4.0,0.0104,0.26,0.57758,7.866730496,0.151729199,0.76,0.19,4,0,2,4,1,8.596039695,0.030352361
0.0,0.0,8.0,1.6,0.02362226,168.0,22.0,7.5,2.0,0.0,5.0,0.2,4.0,0.0,0.0,0.0,0.104821803,0.020964361,4,1,7,4,2,0.0,6.017252911
0.0,0.0,6.0,2.0,2.258351725,24.0,20.0,7.0,12.23,500.0,3.0,0.0099,0.33,0.23147,4.352514894,0.154465049,0.516273526,0.167814303,4,1,2,4,0,4.738449942999999,2.286534867
0.0,0.0,10.0,3.225806452,3.748270094,2.0,25.0,7.0,2.0,416.0,3.1,0.0434,1.4,1.146557421,6.125038298,0.231877671,0.34,0.109677419,4,1,7,4,1,7.50347339,0.956175422
0.0,0.0,7.0,2.464788732,3.8,168.0,25.0,7.0,20.0,145.3550136,2.84,0.042884,1.51,0.19522,9.640390251,0.215485865,0.394220073,0.122137776,4,1,2,2,1,10.051096116,1.566666667
0.0,0.0,10.0,0.148367953,6.469887196,72.0,25.0,7.0,10.0,747.5787483,67.4,2.19,3.24925816,5.76,122.20326,0.28,7.794542387,0.41723047,4,1,2,4,3,128.24326,6.57
0.0,0.0,450.0,36.8852459,18.7,168.0,25.0,7.0,20.0,200.0,12.2,0.18788,1.54,0.2,35.42,0.23,4.299705012,0.279257856,4,0,2,2,3,35.85,35.4
4.0,0.05125,24.05762544,4.296386794,4.335347119,72.0,20.0,7.0,5.0,201.2,4.0,0.24,6.0,0.88787,34.1041022,0.298275871,0.415746628,0.118970358,5,1,5,4,1,35.290248071,4.854289294
0.0,0.0,20.0,5.0,13.7706102,72.0,25.0,7.0,46.9,50.0,4.0,0.0332,0.83,0.74432,6.207297142,0.361386211,1.35,0.3375,4,1,2,4,0,7.313003353,9.949460764
0.0,0.0,28.4,6.311111111,5.08876099,24.0,25.0,7.0,10.0,23.84680524,4.5,0.04,0.888888889,1.4,2.9,0.056869173,0.531235971,0.139865647,4,1,2,4,2,4.356869173,3.333352767
0.0,0.0,12.0,3.0,4.56936667,168.0,25.0,7.2,10.0,0.0,4.0,0.0336,0.84,0.33693,6.389471099,0.134893099,0.44,0.11,4,0,2,4,2,6.8612941979999995,4.0
0.0,0.0,2.5,1.5625,2.248679742,72.0,20.0,6.0,4.0,42.0,1.6,0.04992,3.12,0.13961,0.69,0.036383298,0.295167402,0.126998339,4,0,2,3,2,0.8659932979999999,0.0
0.0,0.0,8.0,4.0,3.192348549,72.0,21.0,7.0,28.0,97.98481268,2.0,0.045948265,1.920138114,0.09513,4.635518459,0.221508144,0.2,0.1,4,0,2,4,0,4.952156603000001,0.25
0.0,0.0,6.0,2.0,2.34445229,24.0,20.0,7.0,19.49454545,100.0,3.0,0.003,0.1,0.4236825,4.160391489,0.248095247,0.585362359,0.163057034,4,1,2,4,0,4.832169236,7.244851974
0.0,0.0,10.0,2.0,7.131535507,10.0,22.0,6.9,10.0,0.0,5.0,0.4145,8.3,0.0,0.0,0.0,0.13,0.026,4,0,2,4,2,0.0,1.041919884
0.281988487,0.5,9.0,2.884615385,6.067192407,24.0,25.0,7.0,10.0,467.2025648,3.12,0.067777737,2.134754415,0.78,0.7,0.006,0.92,0.294871795,2,1,0,4,2,1.486,3.238240273
0.0,0.0,8.191809967,3.753004679,4.0,168.0,20.0,7.0,1.0,289.2971724,2.182733747,0.057158224,2.618653045,0.12711,4.851882766,0.094199199,0.291419516,0.117076961,4,1,5,4,2,5.073191965,17.13295831
0.0,0.0,8.0,4.0,3.024814026,72.0,21.0,7.0,28.0,95.27902234,2.0,0.048038622,1.941359619,0.10945,5.624470657,0.285705945,0.14,0.07,4,1,2,4,0,6.019626602,0.87
0.0,0.0,250.0,85.61643836,20.56666667,168.0,25.0,7.0,20.0,40.61382279,2.92,0.042924,1.47,1.069942273,4.610404897,0.171198562,3.18573,0.376533941,4,0,2,2,1,5.851545731999999,1.866666667
5.0,72.0,4.0,0.8,5.069605182,72.0,23.72,7.0,10.0,211.9411481,5.0,0.05,1.0,0.63,0.354609929,0.354609929,0.778863063,0.166602749,6,0,2,4,0,1.3392198579999999,0.663221984
0.0,0.0,10.0,2.702702703,5.270999587,23.0,22.0,6.9,10.0,0.0,3.7,0.0727,2.0,0.03,1.2,0.01,0.15,0.040540541,4,0,2,4,1,1.24,0.606354357
0.0,0.0,13.91528215,3.302830436,1.0,24.0,23.36,8.0,0.0,43.0,3.9,0.11,2.820512821,0.7,3.208662163,0.157137695,0.417693632,0.109842051,4,1,2,0,1,4.065799858,10.5
0.0,0.0,1.95,1.5,3.237096988,24.0,30.0,7.0,2.0,9.0,1.3,0.017,1.307692308,0.0,0.63,0.006,0.28,0.215384615,4,1,0,4,1,0.636,2.263112686
0.0,0.0,8.0,4.0,2.578060643,72.0,21.0,7.0,28.0,86.31089734,2.0,0.044599669,1.923200641,0.1206725,4.392134558,0.255732044,0.23,0.115,4,1,2,4,0,4.768539102000001,0.11
0.0,0.0,5.0,2.219263205,2.130583299,24.0,25.0,7.080142857,12.725,137.9926912,2.253,0.023,1.020861074,1.307692421,5.890680496,0.205562298,0.416726807,0.150358968,4,1,7,4,1,7.403935215000001,0.956916672
3.5,12.0,10.5,3.0,7.075086072,168.0,25.0,7.2,5.0,0.0,3.5,0.0476,1.36,0.233605,8.643140496,0.303624894,0.91,0.26,5,0,2,4,1,9.18037039,1.096508159
0.0,0.0,50.0,10.28806584,42.7,168.0,25.0,7.0,20.0,60.05056596,4.86,0.047142,0.97,0.806135,6.346942449,0.542796099,1.162437083,0.214951962,4,1,2,2,1,7.695873548000001,0.1
0.0,0.0,5.0,2.631578947,2.789601469,2.0,25.0,7.0,2.0,48.0,1.9,0.0247,1.3,1.034322421,6.962822199,0.213132099,0.17,0.089473684,4,1,7,4,1,8.210276719,1.33701858
0.0,0.0,8.0,4.0,2.869155649,72.0,21.0,7.0,28.0,98.63471215,2.0,0.047542257,2.013315725,0.10977,5.770318459,0.283925945,0.15,0.075,4,1,2,4,0,6.1640144040000004,0.93
0.0,0.0,70.91661064,8.052632594,1.0,24.0,20.0,8.0,1000.0,0.0,2.4,0.078,3.25,0.0,0.0,0.0,0.12,0.05,4,1,2,3,2,0.0,0.35
0.0,0.0,10.0,1.828153565,3.021870123,72.0,22.5,7.2,5.0,0.0,5.47,0.193,3.52833638,0.5,0.0,0.0,0.220285713,0.041648141,4,1,7,4,2,0.5,7.404926477
